Sequence Position in training data,,Customer ID# in market test database,"Male=0, Female=1",total_expenditure ,"months_since_last_purchase, ","number_of_purchases, ",months_since_first_purchase ,,,
662,user662,5894,0,287,4,1,4,,,
663,user663,5897,1,194,30,1,30,,,
664,user664,5899,1,98,12,6,38,,,
665,user665,5902,1,351,10,9,62,,,
666,user666,5903,1,156,10,5,34,,,
667,user667,5906,1,277,10,3,22,,,
668,user668,5907,0,160,24,10,50,,,
669,user669,5911,0,215,16,1,16,,,
670,user670,5912,1,399,14,8,48,,,
671,user671,5913,1,68,4,1,4,,,
672,user672,5915,1,303,16,2,22,,,
673,user673,5916,0,156,2,3,12,,,
674,user674,5924,1,191,22,2,24,,,
675,user675,5931,1,32,16,1,16,,,
676,user676,5935,1,93,14,2,16,,,
677,user677,5943,0,266,32,2,40,,,
678,user678,5957,1,296,14,1,14,,,
679,user679,5982,0,63,14,1,14,,,
680,user680,6003,1,132,2,1,2,,,
681,user681,6013,1,143,14,1,14,,,
682,user682,6018,1,294,16,1,16,,,
683,user683,6025,0,17,4,1,4,,,
684,user684,6037,0,422,26,12,82,,,
685,user685,6044,0,340,14,10,70,,,
686,user686,6058,1,139,10,1,10,,,
687,user687,6059,1,53,14,1,14,,,
688,user688,6067,1,39,14,1,14,,,
689,user689,6069,1,113,8,2,14,,,
690,user690,6082,0,307,18,4,28,,,
691,user691,6084,0,104,6,5,18,,,
692,user692,6093,1,184,6,1,6,,,
693,user693,6096,1,245,14,1,14,,,
694,user694,6097,1,204,6,2,12,,,
695,user695,6101,1,292,4,5,28,,,
696,user696,6102,1,158,16,7,44,,,
697,user697,6110,1,374,2,10,26,,,
698,user698,6113,0,284,4,2,8,,,
699,user699,6114,1,216,2,2,8,,,
700,user700,6118,0,202,16,2,18,,,
701,user701,6123,1,251,16,1,16,,,
702,user702,6134,1,206,14,4,28,,,
703,user703,6140,1,66,32,1,32,,,
704,user704,6153,1,301,16,1,16,,,
705,user705,6167,1,280,6,1,6,,,
706,user706,6168,1,327,12,10,66,,,
707,user707,6174,0,15,34,1,34,,,
708,user708,6177,1,413,30,11,54,,,
709,user709,6183,1,83,4,5,26,,,
710,user710,6192,1,248,12,1,12,,,
711,user711,6196,1,49,12,3,26,,,
712,user712,6201,1,273,10,1,10,,,
713,user713,6208,1,384,14,11,70,,,
714,user714,6219,0,159,4,10,46,,,
715,user715,6222,0,275,10,4,18,,,
716,user716,6223,0,411,28,8,76,,,
717,user717,6235,1,76,6,1,6,,,
718,user718,6243,1,219,2,1,2,,,
719,user719,6246,1,367,20,8,44,,,
720,user720,6249,1,191,20,8,44,,,
721,user721,6256,0,49,16,3,22,,,
722,user722,6257,0,330,4,4,14,,,
723,user723,6275,1,293,14,11,56,,,
724,user724,6280,1,279,28,1,28,,,
725,user725,6286,1,98,2,1,2,,,
726,user726,6289,0,358,6,10,50,,,
727,user727,6291,1,325,12,2,18,,,
728,user728,6292,1,243,14,1,14,,,
729,user729,6299,0,276,22,4,40,,,
730,user730,6304,1,91,2,6,28,,,
731,user731,6307,1,211,34,8,70,,,
732,user732,6309,1,69,8,3,20,,,
733,user733,6312,1,350,4,7,38,,,
734,user734,6317,1,234,8,8,40,,,
735,user735,6325,1,323,12,2,18,,,
736,user736,6346,1,338,14,3,30,,,
737,user737,6347,0,231,20,2,26,,,
738,user738,6348,1,128,14,1,14,,,
739,user739,6369,1,243,12,2,18,,,
740,user740,6381,0,98,4,1,4,,,
741,user741,6389,0,139,6,1,6,,,
742,user742,6391,1,56,8,1,8,,,
743,user743,6396,1,190,10,1,10,,,
744,user744,6397,1,298,12,6,24,,,
745,user745,6399,1,219,14,12,52,,,
746,user746,6402,1,49,34,1,34,,,
747,user747,6410,0,377,14,12,60,,,
748,user748,6426,0,324,34,4,54,,,
749,user749,6428,1,225,34,1,34,,,
750,user750,6459,0,365,10,12,44,,,
751,user751,6479,1,259,10,2,16,,,
752,user752,6480,0,216,16,11,58,,,
753,user753,6485,1,263,2,1,2,,,
754,user754,6495,0,172,14,7,36,,,
755,user755,6496,0,318,2,3,14,,,
756,user756,6507,0,304,28,2,32,,,
757,user757,6521,1,100,10,1,10,,,
758,user758,6540,1,230,14,1,14,,,
759,user759,6549,1,148,16,1,16,,,
760,user760,6551,1,396,12,9,44,,,
761,user761,6553,0,282,10,12,66,,,
762,user762,6564,1,235,12,11,36,,,
763,user763,6586,1,206,12,1,12,,,
764,user764,6588,1,191,14,2,20,,,
765,user765,6589,0,58,4,1,4,,,
766,user766,6596,1,325,16,2,18,,,
767,user767,6597,1,109,6,1,6,,,
768,user768,6605,1,191,16,4,24,,,
769,user769,6608,1,40,4,2,8,,,
770,user770,6609,0,127,12,1,12,,,
771,user771,6628,0,162,12,1,12,,,
772,user772,6635,0,260,2,1,2,,,
773,user773,6638,1,91,2,2,8,,,
774,user774,6640,1,264,4,1,4,,,
775,user775,6642,1,310,6,1,6,,,
776,user776,6643,1,225,2,10,52,,,
777,user777,6650,1,95,6,1,6,,,
778,user778,6654,0,243,28,1,28,,,
779,user779,6672,0,53,12,2,18,,,
780,user780,6680,0,210,14,10,60,,,
781,user781,6698,1,320,4,2,8,,,
782,user782,6700,1,342,8,4,22,,,
783,user783,6701,1,195,2,2,6,,,
784,user784,6703,1,374,10,5,30,,,
785,user785,6708,0,251,12,2,18,,,
786,user786,6713,0,124,2,4,22,,,
787,user787,6718,1,223,8,4,20,,,
788,user788,6721,1,282,10,5,32,,,
789,user789,6724,1,314,10,7,42,,,
790,user790,6725,1,118,16,1,16,,,
791,user791,6726,0,451,6,11,68,,,
792,user792,6727,1,242,14,2,20,,,
793,user793,6731,1,143,14,7,54,,,
794,user794,6734,1,284,18,7,38,,,
795,user795,6736,0,325,8,3,16,,,
796,user796,6748,0,271,10,1,10,,,
797,user797,6764,0,196,12,1,12,,,
798,user798,6766,0,278,2,1,2,,,
799,user799,6775,1,417,14,12,44,,,
800,user800,6778,1,235,12,8,40,,,
801,user801,6786,1,320,16,6,46,,,
802,user802,6794,1,192,12,1,12,,,
803,user803,6801,1,131,14,2,22,,,
804,user804,6814,0,190,18,1,18,,,
805,user805,6818,1,260,6,7,38,,,
806,user806,6828,0,103,14,6,48,,,
807,user807,6839,1,212,6,10,42,,,
808,user808,6840,0,96,12,4,28,,,
809,user809,6845,1,180,14,2,20,,,
810,user810,6850,1,96,28,4,44,,,
811,user811,6856,0,75,14,4,38,,,
812,user812,6859,0,220,16,5,40,,,
813,user813,6867,0,209,2,2,8,,,
814,user814,6888,1,156,16,4,24,,,
815,user815,6889,1,59,30,2,36,,,
816,user816,6890,1,219,12,1,12,,,
817,user817,6891,1,242,6,2,14,,,
818,user818,6909,0,214,12,1,12,,,
819,user819,6910,0,206,32,2,36,,,
820,user820,6911,1,59,16,1,16,,,
821,user821,6914,1,207,2,1,2,,,
822,user822,6916,1,271,10,4,28,,,
823,user823,6917,1,303,10,9,34,,,
824,user824,6922,1,143,4,1,4,,,
825,user825,6930,1,60,14,4,28,,,
826,user826,6940,1,65,12,2,14,,,
827,user827,6947,1,87,22,2,30,,,
828,user828,6951,1,257,34,9,66,,,
829,user829,6965,1,270,16,2,22,,,
830,user830,6966,1,334,4,11,38,,,
831,user831,6971,1,334,4,10,46,,,
832,user832,6977,1,214,16,7,36,,,
833,user833,6978,1,149,14,3,24,,,
834,user834,6987,1,202,12,2,16,,,
835,user835,6990,1,49,2,1,2,,,
836,user836,7009,1,179,10,1,10,,,
837,user837,7010,1,250,14,3,30,,,
838,user838,7012,1,100,16,2,20,,,
839,user839,7027,1,116,10,2,18,,,
840,user840,7038,1,154,14,1,14,,,
841,user841,7044,0,160,12,8,40,,,
842,user842,7052,0,201,10,1,10,,,
843,user843,7059,1,110,6,3,20,,,
844,user844,7064,1,61,14,1,14,,,
845,user845,7076,1,271,30,6,46,,,
846,user846,7078,1,388,12,8,54,,,
847,user847,7079,1,345,20,11,84,,,
848,user848,7090,1,403,24,9,64,,,
849,user849,7094,1,157,12,6,38,,,
850,user850,7098,1,176,8,1,8,,,
851,user851,7103,1,247,34,1,34,,,
852,user852,7105,1,59,22,1,22,,,
853,user853,7107,1,202,8,11,32,,,
854,user854,7116,0,272,20,7,40,,,
855,user855,7120,0,311,28,8,60,,,
856,user856,7122,0,364,10,5,24,,,
857,user857,7150,1,301,12,1,12,,,
858,user858,7157,1,68,14,1,14,,,
859,user859,7164,0,254,24,1,24,,,
860,user860,7182,1,296,16,3,32,,,
861,user861,7189,1,145,4,1,4,,,
862,user862,7201,1,248,36,1,36,,,
863,user863,7207,0,140,22,2,28,,,
864,user864,7211,1,336,2,10,24,,,
865,user865,7225,1,121,10,2,16,,,
866,user866,7230,1,161,4,1,4,,,
867,user867,7236,1,97,28,2,34,,,
868,user868,7244,1,302,16,1,16,,,
869,user869,7246,1,146,32,2,38,,,
870,user870,7248,0,384,10,11,34,,,
871,user871,7265,1,431,8,10,60,,,
872,user872,7267,0,359,2,4,14,,,
873,user873,7272,1,160,12,3,22,,,
874,user874,7299,1,115,14,1,14,,,
875,user875,7301,1,186,2,10,36,,,
876,user876,7320,1,455,6,11,50,,,
877,user877,7324,1,310,10,2,14,,,
878,user878,7326,1,233,16,2,20,,,
879,user879,7329,0,292,16,2,22,,,
880,user880,7331,0,121,8,1,8,,,
881,user881,7332,1,246,22,2,24,,,
882,user882,7333,1,233,2,2,8,,,
883,user883,7375,1,330,34,8,76,,,
884,user884,7378,0,292,14,2,22,,,
885,user885,7381,0,239,16,1,16,,,
886,user886,7392,0,145,8,3,16,,,
887,user887,7393,0,176,10,2,18,,,
888,user888,7408,1,264,2,1,2,,,
889,user889,7415,1,139,2,9,44,,,
890,user890,7437,1,239,12,2,14,,,
891,user891,7440,1,136,8,2,12,,,
892,user892,7441,1,29,10,1,10,,,
893,user893,7448,0,294,12,4,28,,,
894,user894,7455,1,233,16,2,18,,,
895,user895,7462,1,208,10,10,58,,,
896,user896,7468,0,228,16,1,16,,,
897,user897,7473,0,69,32,2,38,,,
898,user898,7474,1,332,4,11,36,,,
899,user899,7483,1,251,14,2,20,,,
900,user900,7493,0,244,14,10,58,,,
901,user901,7499,1,19,6,1,6,,,
902,user902,7533,1,276,22,10,50,,,
903,user903,7545,1,17,16,1,16,,,
904,user904,7556,0,26,14,1,14,,,
905,user905,7559,1,207,16,1,16,,,
906,user906,7563,1,275,16,4,32,,,
907,user907,7575,1,302,6,12,40,,,
908,user908,7577,1,85,14,1,14,,,
909,user909,7583,1,77,10,2,14,,,
910,user910,7586,1,100,4,1,4,,,
911,user911,7588,1,300,10,3,18,,,
912,user912,7601,0,244,8,2,12,,,
913,user913,7612,0,277,14,1,14,,,
914,user914,7614,1,151,4,1,4,,,
915,user915,7615,1,302,12,11,72,,,
916,user916,7635,1,284,2,1,2,,,
917,user917,7636,1,199,10,9,62,,,
918,user918,7653,1,60,32,2,40,,,
919,user919,7661,0,171,2,2,8,,,
920,user920,7662,0,305,2,2,10,,,
921,user921,7666,1,400,14,9,56,,,
922,user922,7679,0,229,16,2,22,,,
923,user923,7680,0,280,24,1,24,,,
924,user924,7699,1,319,16,5,32,,,
925,user925,7707,1,292,12,1,12,,,
926,user926,7708,0,451,14,11,80,,,
927,user927,7713,1,129,14,2,20,,,
928,user928,7714,1,238,2,10,40,,,
929,user929,7721,0,42,6,2,10,,,
930,user930,7726,0,151,16,2,22,,,
931,user931,7730,1,67,30,2,36,,,
932,user932,7733,1,158,2,2,8,,,
933,user933,7739,0,173,6,3,22,,,
934,user934,7740,1,259,4,2,8,,,
935,user935,7742,1,335,4,4,26,,,
936,user936,7745,1,41,18,2,20,,,
937,user937,7746,1,84,6,2,12,,,
938,user938,7760,1,279,12,1,12,,,
939,user939,7761,1,368,6,9,42,,,
940,user940,7766,1,242,34,3,42,,,
941,user941,7771,1,18,24,1,24,,,
942,user942,7776,1,400,2,12,62,,,
943,user943,7780,0,400,10,7,32,,,
944,user944,7784,0,215,2,6,16,,,
945,user945,7806,1,214,6,3,20,,,
946,user946,7810,1,250,4,2,12,,,
947,user947,7817,1,66,2,2,6,,,
948,user948,7821,1,70,8,4,22,,,
949,user949,7824,0,138,34,2,36,,,
950,user950,7836,0,33,4,2,8,,,
951,user951,7857,1,246,12,9,44,,,
952,user952,7859,1,351,2,8,44,,,
953,user953,7865,1,198,12,6,34,,,
954,user954,7874,1,69,22,1,22,,,
955,user955,7884,0,414,2,9,24,,,
956,user956,7899,1,67,14,1,14,,,
957,user957,7907,0,78,4,1,4,,,
958,user958,7914,0,279,20,6,44,,,
959,user959,7921,1,190,6,6,42,,,
960,user960,7933,1,248,28,1,28,,,
961,user961,7940,0,425,12,10,64,,,
962,user962,7942,1,84,24,1,24,,,
963,user963,7943,1,302,2,1,2,,,
964,user964,7949,1,347,4,4,14,,,
965,user965,7953,0,225,14,4,34,,,
966,user966,7958,0,271,2,6,34,,,
967,user967,7960,1,128,30,1,30,,,
968,user968,7971,1,182,16,5,42,,,
969,user969,7973,1,299,12,7,38,,,
970,user970,7981,1,277,14,11,68,,,
971,user971,7992,1,197,16,12,60,,,
972,user972,8001,1,167,14,3,24,,,
973,user973,8005,1,231,12,2,14,,,
974,user974,8008,0,322,24,3,36,,,
975,user975,8016,0,196,18,2,22,,,
976,user976,8019,1,136,10,2,12,,,
977,user977,8022,1,197,2,1,2,,,
978,user978,8026,1,252,32,5,60,,,
979,user979,8032,0,269,16,1,16,,,
980,user980,8048,1,120,2,3,20,,,
981,user981,8060,0,230,14,1,14,,,
982,user982,8076,1,36,8,2,14,,,
983,user983,8090,0,180,8,2,12,,,
984,user984,8095,0,223,22,4,44,,,
985,user985,8097,1,251,16,12,82,,,
986,user986,8099,0,272,10,9,60,,,
987,user987,8106,1,314,10,1,10,,,
988,user988,8123,1,226,28,1,28,,,
989,user989,8142,1,158,14,5,38,,,
990,user990,8152,0,107,30,1,30,,,
991,user991,8159,0,108,14,5,42,,,
992,user992,8167,1,69,20,1,20,,,
993,user993,8177,0,209,4,2,8,,,
994,user994,8199,1,226,4,2,8,,,
995,user995,8201,1,37,6,2,8,,,
996,user996,8234,0,305,10,1,10,,,
997,user997,8235,1,226,32,7,58,,,
998,user998,8242,0,178,14,7,38,,,
999,user999,8245,0,303,10,2,16,,,
1000,user1000,8251,1,135,32,2,34,,,
1001,user1001,8254,0,238,8,2,12,,,
1002,user1002,8275,1,231,6,10,44,,,
1003,user1003,8290,0,131,14,1,14,,,
1004,user1004,8291,1,217,16,11,82,,,
1005,user1005,8294,1,303,12,2,20,,,
1006,user1006,8303,1,42,14,1,14,,,
1007,user1007,8324,1,382,2,11,30,,,
1008,user1008,8339,0,301,4,2,6,,,
1009,user1009,8345,1,67,14,1,14,,,
1010,user1010,8356,1,284,6,9,50,,,
1011,user1011,8361,1,200,10,1,10,,,
1012,user1012,8363,1,344,14,9,60,,,
1013,user1013,8366,1,252,8,1,8,,,
1014,user1014,8373,1,275,16,2,24,,,
1015,user1015,8382,1,282,2,1,2,,,
1016,user1016,8389,1,126,2,4,18,,,
1017,user1017,8399,1,182,6,1,6,,,
1018,user1018,8404,0,282,16,1,16,,,
1019,user1019,8413,1,140,8,1,8,,,
1020,user1020,8418,1,366,34,6,56,,,
1021,user1021,8423,1,103,22,2,26,,,
1022,user1022,8438,0,344,12,3,22,,,
1023,user1023,8447,1,282,10,1,10,,,
1024,user1024,8465,1,320,8,9,30,,,
1025,user1025,8476,1,87,8,2,10,,,
1026,user1026,8485,1,351,8,4,20,,,
1027,user1027,8486,1,258,12,1,12,,,
1028,user1028,8507,1,134,26,2,28,,,
1029,user1029,8511,1,216,8,2,14,,,
1030,user1030,8524,1,355,14,8,30,,,
1031,user1031,8528,0,455,12,11,66,,,
1032,user1032,8540,0,262,10,2,12,,,
1033,user1033,8541,1,153,12,7,46,,,
1034,user1034,8544,1,246,10,1,10,,,
1035,user1035,8546,0,249,14,1,14,,,
1036,user1036,8549,1,322,14,2,22,,,
1037,user1037,8551,1,177,8,1,8,,,
1038,user1038,8554,0,257,10,1,10,,,
1039,user1039,8556,1,190,12,1,12,,,
1040,user1040,8568,1,281,6,2,12,,,
1041,user1041,8569,1,323,26,2,34,,,
1042,user1042,8590,1,100,14,2,22,,,
1043,user1043,8599,0,322,6,7,34,,,
1044,user1044,8606,1,169,12,1,12,,,
1045,user1045,8626,0,287,20,2,24,,,
1046,user1046,8653,0,372,14,6,40,,,
1047,user1047,8658,0,384,34,7,50,,,
1048,user1048,8667,0,315,14,6,44,,,
1049,user1049,8673,1,183,12,11,62,,,
1050,user1050,8676,1,67,30,1,30,,,
1051,user1051,8678,1,127,16,2,22,,,
1052,user1052,8720,0,348,6,4,22,,,
1053,user1053,8722,1,227,26,6,38,,,
1054,user1054,8723,1,82,32,1,32,,,
1055,user1055,8730,1,201,2,2,4,,,
1056,user1056,8738,1,128,2,2,6,,,
1057,user1057,8744,1,221,14,2,22,,,
1058,user1058,8774,1,192,18,4,36,,,
1059,user1059,8784,0,30,12,2,14,,,
1060,user1060,8818,0,326,2,4,18,,,
1061,user1061,8843,1,116,2,6,28,,,
1062,user1062,8900,1,341,12,7,44,,,
1063,user1063,8901,1,246,8,7,36,,,
1064,user1064,8903,1,280,10,1,10,,,
1065,user1065,8907,1,294,6,2,10,,,
1066,user1066,8925,1,220,2,1,2,,,
1067,user1067,8927,1,293,12,2,16,,,
1068,user1068,8953,0,72,8,1,8,,,
1069,user1069,8955,0,35,10,2,12,,,
1070,user1070,8956,0,82,8,1,8,,,
1071,user1071,8958,1,305,8,2,16,,,
1072,user1072,8968,1,300,18,2,24,,,
1073,user1073,8976,1,324,2,3,18,,,
1074,user1074,8995,1,238,6,1,6,,,
1075,user1075,9013,0,104,14,2,16,,,
1076,user1076,9019,1,364,32,6,50,,,
1077,user1077,9021,0,91,16,1,16,,,
1078,user1078,9022,0,81,6,1,6,,,
1079,user1079,9026,1,222,12,1,12,,,
1080,user1080,9037,1,108,22,7,60,,,
1081,user1081,9055,1,400,14,7,38,,,
1082,user1082,9068,1,377,4,11,48,,,
1083,user1083,9085,1,100,14,5,42,,,
1084,user1084,9088,1,393,2,7,26,,,
1085,user1085,9103,1,349,14,5,30,,,
1086,user1086,9132,1,183,6,3,18,,,
1087,user1087,9136,1,30,10,2,18,,,
1088,user1088,9137,0,234,12,2,18,,,
1089,user1089,9145,1,252,8,1,8,,,
1090,user1090,9147,1,256,16,2,20,,,
1091,user1091,9153,1,199,12,2,18,,,
1092,user1092,9155,1,231,32,10,72,,,
1093,user1093,9162,1,321,2,7,34,,,
1094,user1094,9172,1,260,14,2,16,,,
1095,user1095,9182,0,296,4,4,16,,,
1096,user1096,9203,1,53,6,1,6,,,
1097,user1097,9208,1,350,20,5,38,,,
1098,user1098,9212,1,302,16,1,16,,,
1099,user1099,9219,1,67,4,4,14,,,
1100,user1100,9229,1,310,32,12,99,,,
1101,user1101,9230,0,219,14,5,40,,,
1102,user1102,9234,1,221,8,1,8,,,
1103,user1103,9246,0,64,10,2,16,,,
1104,user1104,9254,0,245,14,2,20,,,
1105,user1105,9256,1,311,24,12,70,,,
1106,user1106,9260,1,163,10,1,10,,,
1107,user1107,9264,0,341,14,5,34,,,
1108,user1108,9273,1,267,28,2,36,,,
1109,user1109,9283,1,227,24,2,30,,,
1110,user1110,9296,1,275,6,4,28,,,
1111,user1111,9299,1,192,8,1,8,,,
1112,user1112,9304,1,317,2,2,6,,,
1113,user1113,9326,0,227,10,1,10,,,
1114,user1114,9357,1,215,10,8,42,,,
1115,user1115,9363,1,133,16,3,22,,,
1116,user1116,9370,1,75,10,2,16,,,
1117,user1117,9380,0,193,10,6,28,,,
1118,user1118,9400,0,250,6,1,6,,,
1119,user1119,9414,0,116,6,5,28,,,
1120,user1120,9423,1,193,8,6,20,,,
1121,user1121,9440,0,135,8,1,8,,,
1122,user1122,9461,1,241,10,1,10,,,
1123,user1123,9464,0,264,10,12,58,,,
1124,user1124,9477,0,258,2,4,16,,,
1125,user1125,9484,0,254,12,9,64,,,
1126,user1126,9503,1,136,14,6,46,,,
1127,user1127,9507,1,116,4,2,8,,,
1128,user1128,9532,0,306,14,1,14,,,
1129,user1129,9535,1,123,32,2,40,,,
1130,user1130,9536,0,63,20,1,20,,,
1131,user1131,9548,1,183,12,2,16,,,
1132,user1132,9551,1,228,16,9,46,,,
1133,user1133,9564,0,167,12,2,16,,,
1134,user1134,9565,1,258,6,2,10,,,
1135,user1135,9571,0,321,4,2,12,,,
1136,user1136,9586,0,258,20,1,20,,,
1137,user1137,9590,1,189,12,2,18,,,
1138,user1138,9595,1,162,12,2,16,,,
1139,user1139,9611,1,454,30,11,64,,,
1140,user1140,9618,0,331,8,11,64,,,
1141,user1141,9633,1,217,14,4,28,,,
1142,user1142,9634,0,215,14,1,14,,,
1143,user1143,9639,1,139,10,1,10,,,
1144,user1144,9642,1,208,8,4,28,,,
1145,user1145,9650,1,50,8,2,12,,,
1146,user1146,9657,1,26,8,1,8,,,
1147,user1147,9659,1,265,14,1,14,,,
1148,user1148,9676,0,263,16,1,16,,,
1149,user1149,9683,1,178,12,2,14,,,
1150,user1150,9687,1,304,16,1,16,,,
1151,user1151,9688,1,293,16,1,16,,,
1152,user1152,9700,1,38,4,1,4,,,
1153,user1153,9703,0,20,10,1,10,,,
1154,user1154,9709,0,190,16,2,20,,,
1155,user1155,9712,1,63,2,2,4,,,
1156,user1156,9713,0,129,14,2,22,,,
1157,user1157,9720,1,302,14,1,14,,,
1158,user1158,9727,1,421,14,12,50,,,
1159,user1159,9732,1,396,28,7,50,,,
1160,user1160,9736,0,199,32,2,34,,,
1161,user1161,9737,1,270,10,1,10,,,
1162,user1162,9739,1,185,14,5,42,,,
1163,user1163,9764,1,143,8,2,14,,,
1164,user1164,9771,1,174,20,2,24,,,
1165,user1165,9774,1,397,8,11,70,,,
1166,user1166,9781,1,169,28,4,42,,,
1167,user1167,9798,1,71,4,1,4,,,
1168,user1168,9809,0,251,8,6,36,,,
1169,user1169,9810,0,131,12,1,12,,,
1170,user1170,9814,0,102,6,1,6,,,
1171,user1171,9817,1,85,24,2,32,,,
1172,user1172,9828,0,290,8,2,10,,,
1173,user1173,9832,1,127,2,2,4,,,
1174,user1174,9834,1,153,16,10,36,,,
1175,user1175,9835,1,64,2,2,6,,,
1176,user1176,9836,1,240,8,1,8,,,
1177,user1177,9839,0,303,12,1,12,,,
1178,user1178,9850,1,226,12,10,44,,,
1179,user1179,9856,0,227,16,1,16,,,
1180,user1180,9883,1,243,26,9,56,,,
1181,user1181,9888,1,108,2,2,4,,,
1182,user1182,9894,0,224,12,2,16,,,
1183,user1183,9899,1,234,14,1,14,,,
1184,user1184,9923,1,269,24,1,24,,,
1185,user1185,9925,1,76,14,1,14,,,
1186,user1186,9933,1,309,34,2,40,,,
1187,user1187,9934,1,88,10,1,10,,,
1188,user1188,9953,0,142,16,8,34,,,
1189,user1189,9961,1,316,10,2,14,,,
1190,user1190,9967,1,213,16,7,54,,,
1191,user1191,9969,1,76,6,2,12,,,
1192,user1192,9980,1,129,22,1,22,,,
1193,user1193,9985,1,331,14,8,30,,,
1194,user1194,9997,1,199,14,5,34,,,
1195,user1195,10002,1,365,12,6,46,,,
1196,user1196,10012,1,80,18,2,24,,,
1197,user1197,10015,0,208,6,2,12,,,
1198,user1198,10016,1,46,14,2,20,,,
1199,user1199,10037,1,200,4,2,10,,,
1200,user1200,10038,0,406,4,12,68,,,
1201,user1201,10045,0,311,2,9,24,,,
1202,user1202,10047,1,458,6,11,48,,,
1203,user1203,10056,0,312,14,2,20,,,
1204,user1204,10059,1,203,2,2,6,,,
1205,user1205,10064,1,79,30,2,34,,,
1206,user1206,10066,1,170,32,8,54,,,
1207,user1207,10093,1,461,10,11,66,,,
1208,user1208,10099,1,210,30,2,34,,,
1209,user1209,10115,1,247,12,2,18,,,
1210,user1210,10131,0,247,14,3,22,,,
1211,user1211,10165,1,312,12,1,12,,,
1212,user1212,10169,1,69,4,2,10,,,
1213,user1213,10182,0,223,12,11,72,,,
1214,user1214,10183,1,99,4,1,4,,,
1215,user1215,10190,1,138,8,8,38,,,
1216,user1216,10191,1,227,20,2,26,,,
1217,user1217,10206,1,415,10,12,68,,,
1218,user1218,10207,1,276,32,7,64,,,
1219,user1219,10212,1,39,12,1,12,,,
1220,user1220,10223,1,165,12,1,12,,,
1221,user1221,10226,1,424,12,12,68,,,
1222,user1222,10228,1,257,14,3,22,,,
1223,user1223,10232,1,325,16,2,18,,,
1224,user1224,10238,1,247,14,12,64,,,
1225,user1225,10240,1,216,8,2,16,,,
1226,user1226,10248,0,193,12,1,12,,,
1227,user1227,10254,0,275,24,1,24,,,
1228,user1228,10278,1,184,4,1,4,,,
1229,user1229,10285,1,303,18,2,22,,,
1230,user1230,10286,1,80,10,2,18,,,
1231,user1231,10289,1,263,16,2,22,,,
1232,user1232,10291,1,73,16,2,24,,,
1233,user1233,10293,1,46,8,1,8,,,
1234,user1234,10295,1,263,10,3,24,,,
1235,user1235,10314,1,282,10,7,28,,,
1236,user1236,10330,0,17,4,1,4,,,
1237,user1237,10340,1,407,14,8,34,,,
1238,user1238,10351,1,192,18,6,38,,,
1239,user1239,10356,0,233,8,2,14,,,
1240,user1240,10365,1,359,12,12,78,,,
1241,user1241,10370,1,300,12,2,18,,,
1242,user1242,10372,1,154,16,8,36,,,
1243,user1243,10386,1,195,10,1,10,,,
1244,user1244,10392,1,187,6,11,38,,,
1245,user1245,10403,1,314,12,2,16,,,
1246,user1246,10414,1,268,12,2,16,,,
1247,user1247,10420,1,123,2,2,8,,,
1248,user1248,10444,1,156,16,2,18,,,
1249,user1249,10447,1,226,2,1,2,,,
1250,user1250,10449,1,299,12,6,28,,,
1251,user1251,10457,1,255,4,1,4,,,
1252,user1252,10459,0,323,16,6,44,,,
1253,user1253,10477,1,133,6,2,12,,,
1254,user1254,10521,0,206,16,4,36,,,
1255,user1255,10529,1,310,30,2,36,,,
1256,user1256,10530,1,27,20,1,20,,,
1257,user1257,10541,1,189,4,11,30,,,
1258,user1258,10552,1,364,2,9,42,,,
1259,user1259,10570,1,92,8,4,30,,,
1260,user1260,10571,0,136,2,2,8,,,
1261,user1261,10577,1,167,8,2,14,,,
1262,user1262,10583,1,159,10,2,14,,,
1263,user1263,10591,0,72,10,1,10,,,
1264,user1264,10592,1,41,2,1,2,,,
1265,user1265,10602,1,194,10,3,16,,,
1266,user1266,10607,0,82,14,2,16,,,
1267,user1267,10619,1,132,16,6,30,,,
1268,user1268,10653,1,152,16,1,16,,,
1269,user1269,10654,0,207,4,11,60,,,
1270,user1270,10656,1,313,16,12,62,,,
1271,user1271,10669,1,259,14,2,22,,,
1272,user1272,10689,1,127,2,3,12,,,
1273,user1273,10695,1,346,2,10,52,,,
1274,user1274,10696,1,220,2,2,6,,,
1275,user1275,10698,0,296,14,1,14,,,
1276,user1276,10700,0,116,14,2,20,,,
1277,user1277,10709,1,160,18,2,26,,,
1278,user1278,10728,1,332,8,7,42,,,
1279,user1279,10733,0,207,4,2,12,,,
1280,user1280,10740,1,51,36,1,36,,,
1281,user1281,10741,1,239,16,1,16,,,
1282,user1282,10744,1,72,8,1,8,,,
1283,user1283,10749,1,362,2,6,20,,,
1284,user1284,10779,1,108,14,1,14,,,
1285,user1285,10780,1,97,6,2,12,,,
1286,user1286,10783,0,86,2,1,2,,,
1287,user1287,10786,0,291,4,7,40,,,
1288,user1288,10800,1,262,28,10,80,,,
1289,user1289,10806,1,415,12,9,60,,,
1290,user1290,10811,1,177,14,1,14,,,
1291,user1291,10812,1,174,14,4,28,,,
1292,user1292,10820,1,81,12,2,20,,,
1293,user1293,10826,1,42,32,2,36,,,
1294,user1294,10829,0,318,4,7,44,,,
1295,user1295,10832,1,195,16,2,18,,,
